                                                Tiempo en ns
Grado          	MSucesivas     	Recursiva      	RecursivaPar   	PrograDinamica 	Mejorada       	Pow            	Horner         
1              	191574         	38400          	32000          	128427         	17920          	264106         	17493          	
2              	43520          	59306          	74667          	32854          	9386           	32000          	8534           	
10             	257280         	354986         	338774         	105813         	43947          	157866         	38827          	
25             	447147         	2827094        	336641         	247467         	95146          	392960         	104960         	
50             	740694         	427094         	244907         	97707          	26454          	577281         	29440          	
100            	2935895        	1269761        	357120         	187307         	30294          	1048747        	33280          	
250            	4139095        	7622403        	990294         	297814         	70400          	5359788        	122027         	
500            	19613875       	30381240       	4497495        	829867         	154880         	18501981       	402347         	
1000           	75394592       	168615752      	5411842        	1839360        	517973         	37920016       	362240         	
1500           	180135756      	521700490      	9659737        	2147841        	224427         	58221251       	452694         	
2000           	305105624      	993307304      	12534619       	1711787        	305920         	79945848       	574720         	
2500           	538803429      	1515312860     	16329820       	1981867        	366507         	102858284      	721067         	
5000           	1951471766     	6195621631     	40598631       	2016427        	723200         	227053323      	1494187        	
10000          	8196809470     	26331636195    	79997474       	5570136        	1553921        	437744400      	3243948        	
